detectorName,descriptorName,img,ttc_lidar,ttc_camera,t_total
SIFT,BRIEF,13,9.22307,9.29619,0.462477
SIFT,BRIEF,14,10.9678,11.4234,0.443966
SIFT,BRIEF,15,8.09422,9.65353,0.45572
SIFT,BRIEF,16,8.81392,8.72439,0.443444
SIFT,BRIEF,17,10.2926,8.72298,0.449474
SIFT,BRIEF,18,8.30978,8.87388,0.447305
SIFT,BRISK,1,12.9722,11.7668,0.601771
SIFT,BRISK,2,12.264,13.853,0.595952
SIFT,BRISK,3,13.9161,13.6748,0.589877
SIFT,BRISK,4,15.804,19.4978,0.602094
SIFT,BRISK,5,12.5951,17.5141,0.595824
SIFT,BRISK,6,7.14812,11.5502,0.610081
SIFT,BRISK,7,34.3404,14.947,0.601725
SIFT,BRISK,8,18.7875,15.2154,0.591366
SIFT,BRISK,9,15.8894,12.9655,0.600621
SIFT,BRISK,10,13.7297,12.2915,0.59922
SIFT,BRISK,11,10.4914,12.9617,0.584137
SIFT,BRISK,12,10.1,10.5115,0.59
SIFT,BRISK,13,9.22307,9.1344,0.593616
SIFT,BRISK,14,10.9678,9.3534,0.592541
SIFT,BRISK,15,8.09422,9.37208,0.596502
SIFT,BRISK,16,8.81392,8.75392,0.592072
SIFT,BRISK,17,10.2926,8.7407,0.599421
SIFT,BRISK,18,8.30978,8.80785,0.622207
SIFT,FREAK,1,12.9722,10.6691,0.46051
SIFT,FREAK,2,12.264,13.3877,0.48084
SIFT,FREAK,3,13.9161,13.6637,0.459405
SIFT,FREAK,4,15.804,22.057,0.493999
SIFT,FREAK,5,12.5951,11.2865,0.468446
